alias_1,alias_2,category,description,direction,type
넷플릭스,Netflix,brand,영상 스트리밍 서비스,B,partial
유튜브,YouTube,brand,동영상 플랫폼,B,partial
유튜브,youtube,brand,동영상 플랫폼,B,partial
구글,Google,brand,검색엔진 및 IT 서비스,B,partial
구글,google,brand,검색엔진 및 IT 서비스,B,partial
애플,Apple,brand,IT 기업,B,partial
애플,APPLE,brand,IT 기업,B,partial
애플,apple,brand,IT 기업,B,partial
삼성,Samsung,brand,전자제품 제조사,B,partial
삼성,SAMSUNG,brand,전자제품 제조사,B,partial
삼성,samsung,brand,전자제품 제조사,B,partial
샤오미,Xiaomi,brand,중국 스마트폰 제조사,B,partial
샤오미,XIAOMI,brand,중국 스마트폰 제조사,B,partial
샤오미,xiaomi,brand,중국 스마트폰 제조사,B,partial
웨이브,Wavve,brand,국내 OTT 서비스,B,partial
웨이브,wavve,brand,국내 OTT 서비스,B,partial
플로,Flo,brand,음악 스트리밍 서비스,B,partial
플로,FLO,brand,음악 스트리밍 서비스,B,partial
플로,flo,brand,음악 스트리밍 서비스,B,partial
아이폰,iPhone,device,애플 스마트폰,B,partial
아이폰,IPHONE,device,애플 스마트폰,B,partial
아이폰,iphone,device,애플 스마트폰,B,partial
IPHONE,iPhone,device,애플 스마트폰,B,partial
iPhone,iphone,device,애플 스마트폰,B,partial
아이패드,iPad,device,애플 태블릿,B,partial
아이패드,IPAD,device,애플 태블릿,B,partial
아이패드,ipad,device,애플 태블릿,B,partial
갤럭시,Galaxy,device,삼성 스마트폰 시리즈,B,partial
갤럭시,GALAXY,device,삼성 스마트폰 시리즈,B,partial
갤럭시,galaxy,device,삼성 스마트폰 시리즈,B,partial
워치,Watch,device,스마트워치,B,partial
워치,WATCH,device,스마트워치,B,partial
워치,watch,device,스마트워치,B,partial
노트,Note,device,스마트폰 노트 시리즈,B,partial
노트,NOTE,device,스마트폰 노트 시리즈,B,partial
노트,note,device,스마트폰 노트 시리즈,B,partial
탭,Tab,device,태블릿 기기,B,partial
탭,TAB,device,태블릿 기기,B,partial
탭,tab,device,태블릿 기기,B,partial
레드미,Redmi,device,샤오미 스마트폰 시리즈,B,partial
레드미,REDMI,device,샤오미 스마트폰 시리즈,B,partial
레드미,redmi,device,샤오미 스마트폰 시리즈,B,partial
웹,WEB,tech,월드와이드웹,B,partial
웹,Web,tech,월드와이드웹,B,partial
웹,web,tech,월드와이드웹,B,partial
와이파이,WiFi,tech,무선 인터넷,B,partial
와이파이,wifi,tech,무선 인터넷,B,partial
와이파이,Wi-Fi,tech,무선 인터넷,B,partial
와이파이,WIFI,tech,무선 인터넷,B,partial
앱,App,tech,애플리케이션,B,partial
앱,APP,tech,애플리케이션,B,partial
앱,app,tech,애플리케이션,B,partial
데이터,Data,tech,디지털 정보,B,partial
데이터,DATA,tech,디지털 정보,B,partial
데이터,data,tech,디지털 정보,B,partial
비디오,Video,tech,영상,B,partial
비디오,VIDEO,tech,영상,B,partial
비디오,video,tech,영상,B,partial
오디오,Audio,tech,음성,B,partial
오디오,AUDIO,tech,음성,B,partial
